id_pedido,data_pedido,id_cliente,produto,categoria,quantidade,preco_unitario,desconto,custo_unitario,estado,regiao,forma_pagamento,canal,faturamento,custo_total,lucro,margem_lucro,ano,mes,nome_mes
100017,2025-06-19,C1086,Hub USB,Acessórios,1,213.45,0.2,117.4,MT,Centro-Oeste,Cartão de débito,Marketplace,170.76,117.4,53.36,0.3125,2025,6,June
100018,2026-01-18,C1795,Suporte para Monitor,Escritório,3,325.74,0.0,179.16,RJ,Sudeste,PIX,Online,977.22,537.48,439.74,0.45,2026,1,January
100019,2025-08-14,C0030,Air Fryer,Casa,1,741.77,0.0,474.73,MG,Sudeste,PIX,Online,741.77,474.73,267.04,0.36,2025,8,August
100020,2025-09-01,C1141,Carregador,Acessórios,2,92.85,0.0,46.42,MS,Centro-Oeste,Boleto,Online,185.7,92.84,92.86,0.5001,2025,9,September
100021,2026-02-21,C0780,Hub USB,Acessórios,1,224.98,0.05,123.74,AL,Nordeste,Boleto,Online,213.73,123.74,89.99,0.421,2026,2,February
100022,2025-03-04,C1650,Teclado,Eletrônicos,2,660.41,0.0,396.25,RS,Sul,Cartão de débito,Marketplace,1320.82,792.5,528.32,0.4,2025,3,March
100023,2026-03-09,C0752,Mouse,Eletrônicos,1,184.92,0.15,107.25,SE,Nordeste,Cartão de crédito,Online,157.18,107.25,49.93,0.3177,2026,3,March
100024,2025-04-06,C0969,Notebook,Eletrônicos,1,4199.74,0.0,3023.81,RN,Nordeste,Cartão de crédito,Online,4199.74,3023.81,1175.93,0.28,2025,4,April
100025,2025-01-03,C1600,Suporte para Monitor,Escritório,1,492.04,0.05,270.62,AL,Nordeste,Boleto,Online,467.44,270.62,196.82,0.4211,2025,1,January
100026,2025-10-31,C0892,Cafeteira,Casa,4,779.18,0.05,506.47,AC,Norte,PIX,Online,2960.88,2025.88,935.0,0.3158,2025,10,October
100027,2026-05-04,C2060,Monitor,Eletrônicos,3,1656.03,0.0,1126.1,GO,Centro-Oeste,Cartão de crédito,Online,4968.09,3378.3,1589.79,0.32,2026,5,May
100028,2025-03-11,C0964,Smartphone,Eletrônicos,1,4766.38,0.05,3717.78,MS,Centro-Oeste,Cartão de crédito,Online,4528.06,3717.78,810.28,0.1789,2025,3,March
100029,2026-06-20,C1296,Luminária,Escritório,4,145.36,0.1,75.59,BA,Nordeste,PIX,Marketplace,523.3,302.36,220.94,0.4222,2026,6,June
100030,2025-11-04,C1873,Mouse,Eletrônicos,1,395.78,0.0,229.55,SE,Nordeste,Cartão de crédito,Online,395.78,229.55,166.23,0.42,2025,11,November
100031,2026-06-03,C1087,Cafeteira,Casa,1,549.01,0.0,356.86,BA,Nordeste,PIX,Marketplace,549.01,356.86,192.15,0.35,2026,6,June
100032,2026-03-25,C2226,Headset,Eletrônicos,2,608.76,0.2,377.43,AM,Norte,Cartão de crédito,Marketplace,974.02,754.86,219.16,0.225,2026,3,March
100033,2025-05-18,C1084,Teclado,Eletrônicos,1,174.93,0.05,104.96,PE,Nordeste,PIX,Online,166.18,104.96,61.22,0.3684,2025,5,May
100034,2025-07-28,C1082,Cadeira,Escritório,1,1002.24,0.15,701.57,MG,Sudeste,Cartão de crédito,Marketplace,851.9,701.57,150.33,0.1765,2025,7,July
100035,2025-02-15,C0015,Aspirador,Casa,1,413.52,0.2,277.06,SC,Sul,Boleto,Marketplace,330.82,277.06,53.76,0.1625,2025,2,February
100036,2025-04-25,C0309,Notebook,Eletrônicos,4,4918.57,0.0,3541.37,MG,Sudeste,PIX,Online,19674.28,14165.48,5508.8,0.28,2025,4,April
100037,2025-05-11,C0172,Luminária,Escritório,1,367.67,0.1,191.19,MG,Sudeste,PIX,Online,330.9,191.19,139.71,0.4222,2025,5,May
100038,2025-04-16,C1449,Air Fryer,Casa,2,918.89,0.05,588.09,DF,Centro-Oeste,Cartão de débito,Online,1745.89,1176.18,569.71,0.3263,2025,4,April
100039,2025-07-01,C1689,Headset,Eletrônicos,1,702.42,0.0,435.5,AL,Nordeste,Cartão de débito,Marketplace,702.42,435.5,266.92,0.38,2025,7,July
100040,2025-04-21,C1567,Headset,Eletrônicos,3,793.94,0.0,492.24,TO,Norte,Boleto,Marketplace,2381.82,1476.72,905.1,0.38,2025,4,April
100041,2025-08-22,C0914,Liquidificador,Casa,1,212.7,0.0,134.0,RJ,Sudeste,PIX,Marketplace,212.7,134.0,78.7,0.37,2025,8,August
100042,2026-02-14,C2197,Carregador,Acessórios,1,55.52,0.15,27.76,PE,Nordeste,Cartão de débito,Marketplace,47.19,27.76,19.43,0.4117,2026,2,February
100043,2025-04-22,C2444,Monitor,Eletrônicos,1,2011.38,0.0,1367.74,DF,Centro-Oeste,Cartão de crédito,Marketplace,2011.38,1367.74,643.64,0.32,2025,4,April
100044,2025-09-18,C0182,Cafeteira,Casa,2,201.69,0.15,131.1,MT,Centro-Oeste,Cartão de débito,Marketplace,342.87,262.2,80.67,0.2353,2025,9,September
100045,2025-03-13,C1353,Luminária,Escritório,2,292.28,0.0,151.99,CE,Nordeste,PIX,Marketplace,584.56,303.98,280.58,0.48,2025,3,March
100046,2026-02-17,C1212,Cadeira,Escritório,2,883.68,0.1,618.58,RN,Nordeste,Cartão de débito,Marketplace,1590.62,1237.16,353.46,0.2222,2026,2,February
100047,2025-01-01,C1245,Suporte para Monitor,Escritório,1,314.94,0.05,173.22,AM,Norte,PIX,Marketplace,299.19,173.22,125.97,0.421,2025,1,January
100048,2026-03-29,C0876,Cabo USB,Acessórios,1,83.5,0.2,37.58,AC,Norte,Cartão de débito,Online,66.8,37.58,29.22,0.4374,2026,3,March
100049,2026-06-12,C1373,Liquidificador,Casa,1,576.96,0.0,363.48,CE,Nordeste,Cartão de débito,Online,576.96,363.48,213.48,0.37,2026,6,June
100050,2025-01-26,C0190,Mouse,Eletrônicos,1,279.56,0.1,162.14,RJ,Sudeste,Boleto,Marketplace,251.6,162.14,89.46,0.3556,2025,1,January
100051,2026-01-29,C2025,Cafeteira,Casa,1,347.57,0.1,225.92,AP,Norte,Cartão de crédito,Marketplace,312.81,225.92,86.89,0.2778,2026,1,January
100052,2025-06-30,C2122,Air Fryer,Casa,1,690.18,0.15,441.72,ES,Sudeste,Boleto,Online,586.65,441.72,144.93,0.247,2025,6,June
100053,2026-06-28,C2290,Cabo USB,Acessórios,2,96.0,0.15,43.2,DF,Centro-Oeste,Boleto,Marketplace,163.2,86.4,76.8,0.4706,2026,6,June
100054,2026-05-02,C1844,Headset,Eletrônicos,1,335.43,0.1,207.97,AP,Norte,Boleto,Online,301.89,207.97,93.92,0.3111,2026,5,May
100055,2026-03-27,C0318,Aspirador,Casa,2,543.12,0.0,363.89,MT,Centro-Oeste,Cartão de crédito,Online,1086.24,727.78,358.46,0.33,2026,3,March
100056,2025-08-25,C1569,Mouse,Eletrônicos,2,376.7,0.0,218.49,AL,Nordeste,PIX,Marketplace,753.4,436.98,316.42,0.42,2025,8,August
100057,2025-03-05,C0848,Luminária,Escritório,3,204.63,0.1,106.41,RO,Norte,Cartão de crédito,Marketplace,552.5,319.23,233.27,0.4222,2025,3,March
100058,2025-01-07,C1441,Hub USB,Acessórios,1,165.8,0.15,91.19,TO,Norte,Boleto,Online,140.93,91.19,49.74,0.3529,2025,1,January
100059,2025-08-13,C1118,Hub USB,Acessórios,1,86.39,0.0,47.51,PA,Norte,Boleto,Online,86.39,47.51,38.88,0.4501,2025,8,August
100060,2025-05-11,C2188,Cabo USB,Acessórios,1,51.52,0.05,23.18,SP,Sudeste,Cartão de crédito,Marketplace,48.94,23.18,25.76,0.5264,2025,5,May
100061,2026-04-18,C0745,Mouse,Eletrônicos,1,239.22,0.0,138.75,MA,Nordeste,PIX,Marketplace,239.22,138.75,100.47,0.42,2026,4,April
100062,2026-03-08,C1034,Aspirador,Casa,3,837.88,0.1,561.38,MG,Sudeste,PIX,Online,2262.28,1684.14,578.14,0.2556,2026,3,March
100063,2025-02-11,C0128,Smartphone,Eletrônicos,4,1797.44,0.0,1402.0,PR,Sul,Cartão de débito,Online,7189.76,5608.0,1581.76,0.22,2025,2,February
100064,2025-04-28,C2311,Hub USB,Acessórios,4,182.31,0.0,100.27,PB,Nordeste,Cartão de débito,Online,729.24,401.08,328.16,0.45,2025,4,April
100065,2025-11-15,C0443,Headset,Eletrônicos,2,846.67,0.05,524.94,RN,Nordeste,Boleto,Online,1608.67,1049.88,558.79,0.3474,2025,11,November
100066,2025-09-06,C0418,Smartphone,Eletrônicos,2,2206.33,0.1,1720.94,RR,Norte,Cartão de crédito,Online,3971.39,3441.88,529.51,0.1333,2025,9,September
100067,2026-06-30,C1755,Mesa,Escritório,2,510.33,0.1,347.02,SP,Sudeste,Boleto,Marketplace,918.59,694.04,224.55,0.2445,2026,6,June
100068,2026-03-20,C1484,Teclado,Eletrônicos,2,680.1,0.1,408.06,AL,Nordeste,Cartão de débito,Marketplace,1224.18,816.12,408.06,0.3333,2026,3,March
100069,2026-04-22,C1785,Hub USB,Acessórios,3,210.34,0.0,115.69,BA,Nordeste,Cartão de crédito,Marketplace,631.02,347.07,283.95,0.45,2026,4,April
100070,2025-09-07,C1904,Cabo USB,Acessórios,2,73.46,0.0,33.06,PI,Nordeste,PIX,Online,146.92,66.12,80.8,0.55,2025,9,September
100071,2025-08-06,C1454,Hub USB,Acessórios,2,154.87,0.15,85.18,RO,Norte,PIX,Online,263.28,170.36,92.92,0.3529,2025,8,August
100072,2025-07-15,C0351,Carregador,Acessórios,1,131.29,0.05,65.64,BA,Nordeste,Boleto,Marketplace,124.73,65.64,59.09,0.4737,2025,7,July
100073,2025-01-18,C0382,Cabo USB,Acessórios,1,52.35,0.0,23.56,PA,Norte,PIX,Marketplace,52.35,23.56,28.79,0.55,2025,1,January
100074,2025-12-19,C1743,Carregador,Acessórios,5,160.08,0.05,80.04,SE,Nordeste,PIX,Marketplace,760.38,400.2,360.18,0.4737,2025,12,December
100075,2025-08-25,C0495,Aspirador,Casa,2,644.43,0.1,431.77,AP,Norte,Cartão de débito,Online,1159.97,863.54,296.43,0.2555,2025,8,August
100076,2026-05-11,C1133,Cafeteira,Casa,2,1176.61,0.05,764.8,CE,Nordeste,Cartão de crédito,Online,2235.56,1529.6,705.96,0.3158,2026,5,May
100077,2025-08-21,C1479,Liquidificador,Casa,1,126.79,0.05,79.88,PE,Nordeste,Cartão de crédito,Online,120.45,79.88,40.57,0.3368,2025,8,August
100078,2025-05-10,C2011,Liquidificador,Casa,1,125.89,0.0,79.31,PI,Nordeste,Boleto,Marketplace,125.89,79.31,46.58,0.37,2025,5,May
100079,2025-02-22,C1035,Headset,Eletrônicos,4,508.3,0.1,315.15,RN,Nordeste,Boleto,Online,1829.88,1260.6,569.28,0.3111,2025,2,February
100080,2025-06-05,C0612,Monitor,Eletrônicos,3,2408.43,0.0,1637.73,BA,Nordeste,Cartão de crédito,Marketplace,7225.29,4913.19,2312.1,0.32,2025,6,June
100081,2026-06-20,C1559,Air Fryer,Casa,1,609.9,0.15,390.34,AL,Nordeste,PIX,Online,518.42,390.34,128.08,0.2471,2026,6,June
100082,2025-08-01,C0865,Teclado,Eletrônicos,1,156.83,0.0,94.1,MT,Centro-Oeste,Cartão de crédito,Online,156.83,94.1,62.73,0.4,2025,8,August
100083,2026-02-23,C1846,Notebook,Eletrônicos,2,4144.69,0.0,2984.18,CE,Nordeste,PIX,Marketplace,8289.38,5968.36,2321.02,0.28,2026,2,February
100084,2025-08-28,C1084,Smartphone,Eletrônicos,2,3500.23,0.1,2730.18,RS,Sul,Boleto,Online,6300.41,5460.36,840.05,0.1333,2025,8,August
100085,2025-06-02,C1089,Air Fryer,Casa,3,349.99,0.0,223.99,CE,Nordeste,PIX,Marketplace,1049.97,671.97,378.0,0.36,2025,6,June
100086,2026-04-25,C1246,Teclado,Eletrônicos,2,759.87,0.05,455.92,PI,Nordeste,Boleto,Online,1443.75,911.84,531.91,0.3684,2026,4,April
100087,2026-03-19,C1321,Monitor,Eletrônicos,2,746.56,0.0,507.66,PA,Norte,Cartão de crédito,Marketplace,1493.12,1015.32,477.8,0.32,2026,3,March
100088,2025-06-29,C1928,Monitor,Eletrônicos,1,1496.01,0.0,1017.29,MS,Centro-Oeste,Boleto,Marketplace,1496.01,1017.29,478.72,0.32,2025,6,June
100089,2026-04-27,C1426,Smartphone,Eletrônicos,1,2284.23,0.0,1781.7,SC,Sul,PIX,Marketplace,2284.23,1781.7,502.53,0.22,2026,4,April
100090,2025-10-23,C1641,Hub USB,Acessórios,3,201.02,0.05,110.56,MA,Nordeste,PIX,Marketplace,572.91,331.68,241.23,0.4211,2025,10,October
100091,2026-02-18,C2108,Teclado,Eletrônicos,3,100.81,0.15,60.49,SE,Nordeste,Boleto,Online,257.07,181.47,75.6,0.2941,2026,2,February
100092,2026-06-15,C1482,Cafeteira,Casa,2,698.49,0.05,454.02,MG,Sudeste,Cartão de débito,Marketplace,1327.13,908.04,419.09,0.3158,2026,6,June
100093,2025-10-22,C1795,Mouse,Eletrônicos,3,283.58,0.0,164.48,AM,Norte,Cartão de débito,Online,850.74,493.44,357.3,0.42,2025,10,October
100094,2025-01-15,C2263,Liquidificador,Casa,1,227.86,0.1,143.55,ES,Sudeste,Boleto,Online,205.07,143.55,61.52,0.3,2025,1,January
100095,2026-05-26,C1196,Mouse,Eletrônicos,1,194.84,0.1,113.01,PI,Nordeste,Cartão de débito,Marketplace,175.36,113.01,62.35,0.3556,2026,5,May
100096,2026-01-28,C0781,Mouse,Eletrônicos,4,293.46,0.15,170.21,RJ,Sudeste,PIX,Marketplace,997.76,680.84,316.92,0.3176,2026,1,January
100097,2026-06-04,C1095,Cadeira,Escritório,3,1065.68,0.0,745.98,MS,Centro-Oeste,Boleto,Online,3197.04,2237.94,959.1,0.3,2026,6,June
100098,2026-05-11,C1414,Cabo USB,Acessórios,1,81.03,0.05,36.46,MA,Nordeste,Cartão de débito,Online,76.98,36.46,40.52,0.5264,2026,5,May
100099,2025-08-28,C1683,Suporte para Monitor,Escritório,1,472.35,0.1,259.79,RR,Norte,Boleto,Marketplace,425.12,259.79,165.33,0.3889,2025,8,August
100100,2026-05-23,C0152,Mouse,Eletrônicos,1,485.45,0.0,281.56,ES,Sudeste,Boleto,Online,485.45,281.56,203.89,0.42,2026,5,May
100101,2026-04-13,C0063,Carregador,Acessórios,2,132.0,0.1,66.0,PR,Sul,Cartão de crédito,Marketplace,237.6,132.0,105.6,0.4444,2026,4,April
100102,2025-12-13,C1629,Aspirador,Casa,2,1314.71,0.15,880.86,MT,Centro-Oeste,Boleto,Marketplace,2235.01,1761.72,473.29,0.2118,2025,12,December
100103,2025-02-06,C0281,Hub USB,Acessórios,1,230.57,0.0,126.81,BA,Nordeste,Cartão de crédito,Marketplace,230.57,126.81,103.76,0.45,2025,2,February
100104,2025-04-13,C1818,Teclado,Eletrônicos,1,309.63,0.0,185.78,MA,Nordeste,Cartão de crédito,Marketplace,309.63,185.78,123.85,0.4,2025,4,April
100105,2026-01-19,C1765,Mesa,Escritório,1,1249.87,0.05,849.91,RR,Norte,Cartão de débito,Online,1187.38,849.91,337.47,0.2842,2026,1,January
100106,2025-03-22,C2497,Headset,Eletrônicos,3,614.78,0.0,381.16,MS,Centro-Oeste,Cartão de débito,Online,1844.34,1143.48,700.86,0.38,2025,3,March
100107,2025-09-18,C1883,Cabo USB,Acessórios,1,20.75,0.1,9.34,CE,Nordeste,Cartão de débito,Online,18.68,9.34,9.34,0.5,2025,9,September
100108,2025-12-20,C2407,Cabo USB,Acessórios,1,96.96,0.1,43.63,SE,Nordeste,PIX,Online,87.26,43.63,43.63,0.5,2025,12,December
100109,2026-05-10,C0437,Suporte para Monitor,Escritório,1,385.96,0.05,212.28,RO,Norte,PIX,Online,366.66,212.28,154.38,0.421,2026,5,May
100110,2025-10-09,C0034,Suporte para Monitor,Escritório,2,442.9,0.1,243.59,MG,Sudeste,Boleto,Marketplace,797.22,487.18,310.04,0.3889,2025,10,October
100111,2025-12-27,C0898,Air Fryer,Casa,2,734.62,0.1,470.16,AC,Norte,Cartão de débito,Online,1322.32,940.32,382.0,0.2889,2025,12,December
100112,2025-11-13,C1806,Monitor,Eletrônicos,1,1356.75,0.0,922.59,CE,Nordeste,PIX,Marketplace,1356.75,922.59,434.16,0.32,2025,11,November
100113,2025-07-25,C0542,Headset,Eletrônicos,2,807.35,0.05,500.56,GO,Centro-Oeste,PIX,Online,1533.96,1001.12,532.84,0.3474,2025,7,July
100114,2026-05-09,C1209,Aspirador,Casa,2,673.39,0.0,451.17,RJ,Sudeste,Cartão de débito,Online,1346.78,902.34,444.44,0.33,2026,5,May
100115,2026-01-10,C0370,Suporte para Monitor,Escritório,2,106.96,0.05,58.83,SE,Nordeste,PIX,Marketplace,203.22,117.66,85.56,0.421,2026,1,January
100116,2026-01-16,C0444,Suporte para Monitor,Escritório,2,335.74,0.1,184.66,MT,Centro-Oeste,PIX,Online,604.33,369.32,235.01,0.3889,2026,1,January
100117,2026-04-21,C1238,Smartphone,Eletrônicos,2,1466.7,0.0,1144.03,MG,Sudeste,PIX,Marketplace,2933.4,2288.06,645.34,0.22,2026,4,April
100118,2025-04-10,C0962,Teclado,Eletrônicos,3,194.96,0.05,116.98,PA,Norte,Boleto,Online,555.64,350.94,204.7,0.3684,2025,4,April
100119,2025-04-12,C2005,Luminária,Escritório,2,380.5,0.0,197.86,RO,Norte,PIX,Online,761.0,395.72,365.28,0.48,2025,4,April
100120,2026-04-01,C0968,Cabo USB,Acessórios,3,27.95,0.1,12.58,MT,Centro-Oeste,PIX,Online,75.46,37.74,37.72,0.4999,2026,4,April
100121,2025-10-10,C0778,Suporte para Monitor,Escritório,4,574.51,0.1,315.98,RJ,Sudeste,Não informado,Online,2068.24,1263.92,804.32,0.3889,2025,10,October
100122,2025-12-08,C0998,Monitor,Eletrônicos,5,2116.56,0.0,1439.26,TO,Norte,Cartão de débito,Online,10582.8,7196.3,3386.5,0.32,2025,12,December
100123,2025-12-03,C0605,Air Fryer,Casa,2,717.19,0.0,459.0,PR,Sul,Cartão de débito,Marketplace,1434.38,918.0,516.38,0.36,2025,12,December
100124,2025-04-23,C0106,Headset,Eletrônicos,1,418.68,0.1,259.58,MS,Centro-Oeste,PIX,Online,376.81,259.58,117.23,0.3111,2025,4,April
100125,2025-09-29,C0215,Headset,Eletrônicos,1,465.72,0.0,288.75,RJ,Sudeste,Boleto,Marketplace,465.72,288.75,176.97,0.38,2025,9,September
100126,2026-06-10,C2432,Mesa,Escritório,1,1206.14,0.15,820.18,MG,Sudeste,PIX,Marketplace,1025.22,820.18,205.04,0.2,2026,6,June
100127,2025-03-04,C1962,Notebook,Eletrônicos,3,3991.96,0.0,2874.21,RO,Norte,Boleto,Online,11975.88,8622.63,3353.25,0.28,2025,3,March
100128,2025-11-26,C2492,Smartphone,Eletrônicos,1,1504.77,0.1,1173.72,MS,Centro-Oeste,PIX,Marketplace,1354.29,1173.72,180.57,0.1333,2025,11,November
100129,2025-10-29,C1859,Carregador,Acessórios,1,136.04,0.1,68.02,ES,Sudeste,Cartão de débito,Marketplace,122.44,68.02,54.42,0.4445,2025,10,October
100130,2025-08-22,C1695,Cabo USB,Acessórios,1,56.28,0.05,25.33,ES,Sudeste,PIX,Marketplace,53.47,25.33,28.14,0.5263,2025,8,August
100131,2025-09-19,C1534,Cadeira,Escritório,4,1873.64,0.05,1311.55,RJ,Sudeste,Cartão de crédito,Online,7119.83,5246.2,1873.63,0.2632,2025,9,September
100132,2025-04-09,C1527,Luminária,Escritório,3,258.04,0.05,134.18,MT,Centro-Oeste,PIX,Online,735.41,402.54,332.87,0.4526,2025,4,April
100133,2025-12-29,C1733,Luminária,Escritório,3,310.74,0.2,161.58,DF,Centro-Oeste,PIX,Marketplace,745.78,484.74,261.04,0.35,2025,12,December
100134,2026-06-04,C0872,Teclado,Eletrônicos,1,437.53,0.1,262.52,PB,Nordeste,PIX,Online,393.78,262.52,131.26,0.3333,2026,6,June
100135,2025-08-20,C1758,Aspirador,Casa,3,1468.18,0.1,983.68,DF,Centro-Oeste,Cartão de crédito,Marketplace,3964.09,2951.04,1013.05,0.2556,2025,8,August
100136,2025-07-04,C1120,Notebook,Eletrônicos,2,3581.45,0.0,2578.64,SP,Sudeste,Cartão de débito,Online,7162.9,5157.28,2005.62,0.28,2025,7,July
100137,2025-03-13,C0582,Suporte para Monitor,Escritório,2,585.91,0.0,322.25,GO,Centro-Oeste,Cartão de débito,Marketplace,1171.82,644.5,527.32,0.45,2025,3,March
100138,2026-04-10,C1397,Luminária,Escritório,1,179.72,0.0,93.45,MS,Centro-Oeste,Cartão de crédito,Online,179.72,93.45,86.27,0.48,2026,4,April
100139,2025-06-11,C0204,Mouse,Eletrônicos,2,194.28,0.1,112.68,PI,Nordeste,Boleto,Marketplace,349.7,225.36,124.34,0.3556,2025,6,June
100140,2025-08-09,C2099,Aspirador,Casa,1,787.39,0.0,527.55,PA,Norte,Boleto,Marketplace,787.39,527.55,259.84,0.33,2025,8,August
100141,2025-08-14,C1619,Monitor,Eletrônicos,5,798.61,0.0,543.05,RS,Sul,Cartão de débito,Marketplace,3993.05,2715.25,1277.8,0.32,2025,8,August
100142,2025-12-02,C0492,Liquidificador,Casa,1,478.57,0.0,301.5,RN,Nordeste,Cartão de débito,Marketplace,478.57,301.5,177.07,0.37,2025,12,December
100143,2026-02-11,C0174,Smartphone,Eletrônicos,1,2839.02,0.0,2214.44,MA,Nordeste,Boleto,Marketplace,2839.02,2214.44,624.58,0.22,2026,2,February
100144,2025-10-24,C0472,Luminária,Escritório,1,389.18,0.0,202.37,DF,Centro-Oeste,Boleto,Marketplace,389.18,202.37,186.81,0.48,2025,10,October
100145,2026-03-24,C0434,Smartphone,Eletrônicos,1,3355.49,0.05,2617.28,RN,Nordeste,PIX,Marketplace,3187.72,2617.28,570.44,0.1789,2026,3,March
100146,2025-12-08,C0689,Air Fryer,Casa,1,743.26,0.05,475.69,RS,Sul,PIX,Marketplace,706.1,475.69,230.41,0.3263,2025,12,December
100147,2025-08-30,C0422,Mouse,Eletrônicos,1,162.85,0.1,94.45,AP,Norte,Cartão de crédito,Online,146.56,94.45,52.11,0.3556,2025,8,August
100148,2026-04-21,C2310,Hub USB,Acessórios,2,178.76,0.15,98.32,MS,Centro-Oeste,PIX,Marketplace,303.89,196.64,107.25,0.3529,2026,4,April
100149,2026-03-27,C0280,Mouse,Eletrônicos,1,345.18,0.1,200.2,MS,Centro-Oeste,Cartão de crédito,Marketplace,310.66,200.2,110.46,0.3556,2026,3,March
100150,2025-03-17,C1272,Carregador,Acessórios,1,57.52,0.05,28.76,CE,Nordeste,Cartão de crédito,Online,54.64,28.76,25.88,0.4736,2025,3,March
100151,2026-01-29,C1896,Carregador,Acessórios,2,240.85,0.1,120.42,MG,Sudeste,Boleto,Online,433.53,240.84,192.69,0.4445,2026,1,January
100152,2026-05-03,C2054,Cadeira,Escritório,1,623.75,0.0,436.62,TO,Norte,PIX,Online,623.75,436.62,187.13,0.3,2026,5,May
100153,2025-06-26,C0161,Carregador,Acessórios,1,137.55,0.05,68.78,GO,Centro-Oeste,Cartão de débito,Marketplace,130.67,68.78,61.89,0.4736,2025,6,June
100154,2025-10-17,C1587,Mesa,Escritório,1,941.39,0.05,640.15,RR,Norte,PIX,Online,894.32,640.15,254.17,0.2842,2025,10,October
100155,2025-04-07,C2286,Cadeira,Escritório,2,1068.29,0.1,747.8,PA,Norte,Cartão de débito,Marketplace,1922.92,1495.6,427.32,0.2222,2025,4,April
100156,2025-05-25,C1433,Smartphone,Eletrônicos,1,3624.22,0.1,2826.89,PR,Sul,Cartão de crédito,Marketplace,3261.8,2826.89,434.91,0.1333,2025,5,May
100157,2025-12-03,C0524,Suporte para Monitor,Escritório,2,514.48,0.1,282.96,PA,Norte,Cartão de crédito,Marketplace,926.06,565.92,360.14,0.3889,2025,12,December
100158,2026-01-06,C0075,Carregador,Acessórios,1,86.05,0.0,43.02,AP,Norte,Boleto,Online,86.05,43.02,43.03,0.5001,2026,1,January
100159,2025-05-21,C0635,Air Fryer,Casa,1,891.1,0.0,570.3,AP,Norte,Cartão de crédito,Marketplace,891.1,570.3,320.8,0.36,2025,5,May
100160,2026-01-21,C0632,Mouse,Eletrônicos,1,429.16,0.1,248.91,RR,Norte,Cartão de débito,Marketplace,386.24,248.91,137.33,0.3556,2026,1,January
100161,2026-02-25,C1493,Monitor,Eletrônicos,2,1127.55,0.05,766.73,CE,Nordeste,Boleto,Online,2142.34,1533.46,608.88,0.2842,2026,2,February
100162,2025-11-13,C1922,Air Fryer,Casa,3,435.81,0.1,278.92,MS,Centro-Oeste,Boleto,Marketplace,1176.69,836.76,339.93,0.2889,2025,11,November
100163,2026-01-27,C2060,Liquidificador,Casa,1,583.81,0.1,367.8,RR,Norte,Cartão de débito,Marketplace,525.43,367.8,157.63,0.3,2026,1,January
