id_pedido;data_pedido;id_cliente;id_produto;id_localizacao;quantidade;preco_unitario;desconto;custo_unitario;forma_pagamento;canal;faturamento;custo_total;lucro;margem_lucro
100123;2025-12-03;C0605;1;18;2;717,19;0,0;459,0;Cartão de débito;Marketplace;1434,38;918,0;516,38;0,36
100124;2025-04-23;C0106;7;12;1;418,68;0,1;259,58;PIX;Online;376,81;259,58;117,23;0,3111
100125;2025-09-29;C0215;7;19;1;465,72;0,0;288,75;Boleto;Marketplace;465,72;288,75;176,97;0,38
100126;2026-06-10;C2432;11;11;1;1206,14;0,15;820,18;PIX;Marketplace;1025,22;820,18;205,04;0,2
100127;2025-03-04;C1962;14;21;3;3991,96;0,0;2874,21;Boleto;Online;11975,88;8622,63;3353,25;0,28
100128;2025-11-26;C2492;15;12;1;1504,77;0,1;1173,72;PIX;Marketplace;1354,29;1173,72;180,57;0,1333
100129;2025-10-29;C1859;6;8;1;136,04;0,1;68,02;Cartão de débito;Marketplace;122,44;68,02;54,42;0,4445
100130;2025-08-22;C1695;3;8;1;56,28;0,05;25,33;PIX;Marketplace;53,47;25,33;28,14;0,5263
100131;2025-09-19;C1534;4;19;4;1873,64;0,05;1311,55;Cartão de crédito;Online;7119,83;5246,2;1873,63;0,2632
100132;2025-04-09;C1527;10;13;3;258,04;0,05;134,18;PIX;Online;735,41;402,54;332,87;0,4526
100133;2025-12-29;C1733;10;7;3;310,74;0,2;161,58;PIX;Marketplace;745,78;484,74;261,04;0,35
100134;2026-06-04;C0872;17;15;1;437,53;0,1;262,52;PIX;Online;393,78;262,52;131,26;0,3333
100135;2025-08-20;C1758;2;7;3;1468,18;0,1;983,68;Cartão de crédito;Marketplace;3964,09;2951,04;1013,05;0,2556
100136;2025-07-04;C1120;14;26;2;3581,45;0,0;2578,64;Cartão de débito;Online;7162,9;5157,28;2005,62;0,28
100137;2025-03-13;C0582;16;9;2;585,91;0,0;322,25;Cartão de débito;Marketplace;1171,82;644,5;527,32;0,45
100138;2026-04-10;C1397;10;12;1;179,72;0,0;93,45;Cartão de crédito;Online;179,72;93,45;86,27;0,48
100139;2025-06-11;C0204;13;17;2;194,28;0,1;112,68;Boleto;Marketplace;349,7;225,36;124,34;0,3556
100140;2025-08-09;C2099;2;14;1;787,39;0,0;527,55;Boleto;Marketplace;787,39;527,55;259,84;0,33
100141;2025-08-14;C1619;12;23;5;798,61;0,0;543,05;Cartão de débito;Marketplace;3993,05;2715,25;1277,8;0,32
100142;2025-12-02;C0492;9;20;1;478,57;0,0;301,5;Cartão de débito;Marketplace;478,57;301,5;177,07;0,37
100143;2026-02-11;C0174;15;10;1;2839,02;0,0;2214,44;Boleto;Marketplace;2839,02;2214,44;624,58;0,22
100144;2025-10-24;C0472;10;7;1;389,18;0,0;202,37;Boleto;Marketplace;389,18;202,37;186,81;0,48
100145;2026-03-24;C0434;15;20;1;3355,49;0,05;2617,28;PIX;Marketplace;3187,72;2617,28;570,44;0,1789
100146;2025-12-08;C0689;1;23;1;743,26;0,05;475,69;PIX;Marketplace;706,1;475,69;230,41;0,3263
100147;2025-08-30;C0422;13;4;1;162,85;0,1;94,45;Cartão de crédito;Online;146,56;94,45;52,11;0,3556
100148;2026-04-21;C2310;8;12;2;178,76;0,15;98,32;PIX;Marketplace;303,89;196,64;107,25;0,3529
100149;2026-03-27;C0280;13;12;1;345,18;0,1;200,2;Cartão de crédito;Marketplace;310,66;200,2;110,46;0,3556
100150;2025-03-17;C1272;6;6;1;57,52;0,05;28,76;Cartão de crédito;Online;54,64;28,76;25,88;0,4736
100151;2026-01-29;C1896;6;11;2;240,85;0,1;120,42;Boleto;Online;433,53;240,84;192,69;0,4445
100152;2026-05-03;C2054;4;27;1;623,75;0,0;436,62;PIX;Online;623,75;436,62;187,13;0,3
100153;2025-06-26;C0161;6;9;1;137,55;0,05;68,78;Cartão de débito;Marketplace;130,67;68,78;61,89;0,4736
100154;2025-10-17;C1587;11;22;1;941,39;0,05;640,15;PIX;Online;894,32;640,15;254,17;0,2842
100155;2025-04-07;C2286;4;14;2;1068,29;0,1;747,8;Cartão de débito;Marketplace;1922,92;1495,6;427,32;0,2222
100156;2025-05-25;C1433;15;18;1;3624,22;0,1;2826,89;Cartão de crédito;Marketplace;3261,8;2826,89;434,91;0,1333
100157;2025-12-03;C0524;16;14;2;514,48;0,1;282,96;Cartão de crédito;Marketplace;926,06;565,92;360,14;0,3889
100158;2026-01-06;C0075;6;4;1;86,05;0,0;43,02;Boleto;Online;86,05;43,02;43,03;0,5001
100159;2025-05-21;C0635;1;4;1;891,1;0,0;570,3;Cartão de crédito;Marketplace;891,1;570,3;320,8;0,36
100160;2026-01-21;C0632;13;22;1;429,16;0,1;248,91;Cartão de débito;Marketplace;386,24;248,91;137,33;0,3556
100161;2026-02-25;C1493;12;6;2;1127,55;0,05;766,73;Boleto;Online;2142,34;1533,46;608,88;0,2842
100162;2025-11-13;C1922;1;12;3;435,81;0,1;278,92;Boleto;Marketplace;1176,69;836,76;339,93;0,2889
100163;2026-01-27;C2060;9;22;1;583,81;0,1;367,8;Cartão de débito;Marketplace;525,43;367,8;157,63;0,3
100164;2026-05-08;C1521;12;8;2;884,66;0,1;601,57;PIX;Online;1592,39;1203,14;389,25;0,2444
100165;2025-10-07;C1841;7;5;3;260,51;0,05;161,52;Boleto;Marketplace;742,45;484,56;257,89;0,3473
100166;2026-03-01;C0219;14;19;1;3808,87;0,05;2742,39;PIX;Online;3618,43;2742,39;876,04;0,2421
100167;2025-11-23;C0406;14;18;3;4774,86;0,1;3437,9;Cartão de crédito;Marketplace;12892,12;10313,7;2578,42;0,2
100168;2025-05-23;C1922;8;16;1;81,16;0,0;44,64;Cartão de débito;Online;81,16;44,64;36,52;0,45
100169;2026-03-10;C0456;6;5;2;97,53;0,0;48,77;Boleto;Marketplace;195,06;97,54;97,52;0,4999
100170;2025-04-24;C2048;15;5;2;1065,74;0,05;831,28;Cartão de débito;Marketplace;2024,91;1662,56;362,35;0,1789
100171;2025-01-02;C1446;10;19;1;213,3;0,1;110,92;PIX;Online;191,97;110,92;81,05;0,4222
100172;2026-06-04;C2080;6;3;2;128,09;0,05;64,05;Boleto;Marketplace;243,37;128,1;115,27;0,4736
100173;2025-01-17;C1463;2;3;2;681,0;0,1;456,27;Cartão de crédito;Marketplace;1225,8;912,54;313,26;0,2556
100174;2025-02-15;C1444;13;4;1;421,67;0,0;244,57;Boleto;Marketplace;421,67;244,57;177,1;0,42
100175;2025-05-19;C0259;7;23;2;857,7;0,0;531,77;Cartão de crédito;Online;1715,4;1063,54;651,86;0,38
100176;2025-11-20;C1271;12;16;1;2480,42;0,05;1686,69;Cartão de crédito;Online;2356,4;1686,69;669,71;0,2842
100177;2026-01-01;C0196;9;15;3;279,32;0,0;175,97;Boleto;Marketplace;837,96;527,91;310,05;0,37
100178;2026-01-31;C1389;3;22;4;59,7;0,05;26,87;PIX;Online;226,86;107,48;119,38;0,5262
100179;2025-03-22;C1764;10;10;2;343,15;0,05;178,44;Cartão de crédito;Online;651,98;356,88;295,1;0,4526
100180;2025-10-30;C1256;4;25;1;1935,33;0,0;1354,73;PIX;Marketplace;1935,33;1354,73;580,6;0,3
100181;2025-12-28;C1782;12;19;1;2464,05;0,15;1675,55;Boleto;Marketplace;2094,44;1675,55;418,89;0,2
100182;2025-06-13;C0128;6;11;1;171,51;0,1;85,75;Cartão de débito;Online;154,36;85,75;68,61;0,4445
100183;2026-01-11;C1484;1;14;1;697,07;0,1;446,12;Boleto;Marketplace;627,36;446,12;181,24;0,2889
100184;2026-03-31;C0315;11;3;2;1247,14;0,05;848,06;PIX;Online;2369,57;1696,12;673,45;0,2842
100185;2025-01-27;C0763;17;16;1;370,89;0,05;222,53;PIX;Marketplace;352,35;222,53;129,82;0,3684
100186;2025-10-20;C2012;5;24;1;335,73;0,0;218,22;Boleto;Online;335,73;218,22;117,51;0,35
100187;2025-12-22;C0266;4;24;1;1080,72;0,0;756,5;Cartão de débito;Marketplace;1080,72;756,5;324,22;0,3
100188;2025-08-18;C0498;6;17;5;208,41;0,0;104,2;Cartão de crédito;Marketplace;1042,05;521,0;521,05;0,5
100189;2026-04-24;C2260;11;20;1;1814,79;0,0;1234,06;Boleto;Marketplace;1814,79;1234,06;580,73;0,32
100190;2025-03-17;C0514;10;14;4;285,55;0,05;148,49;PIX;Online;1085,09;593,96;491,13;0,4526
100191;2025-05-13;C1773;7;9;1;801,16;0,1;496,72;Cartão de débito;Marketplace;721,04;496,72;224,32;0,3111
100192;2025-06-15;C1322;7;9;4;319,1;0,15;197,84;Não informado;Online;1084,94;791,36;293,58;0,2706
100193;2025-07-21;C2257;2;19;1;1031,28;0,1;690,96;Cartão de débito;Online;928,15;690,96;237,19;0,2556
100194;2025-12-12;C2309;7;3;1;797,84;0,0;494,66;PIX;Online;797,84;494,66;303,18;0,38
100195;2025-02-01;C2040;10;6;3;254,58;0,1;132,38;Boleto;Online;687,37;397,14;290,23;0,4222
100196;2025-11-01;C1858;16;17;1;129,96;0,05;71,48;Boleto;Online;123,46;71,48;51,98;0,421
100197;2025-05-28;C1281;4;15;3;1138,63;0,2;797,04;Boleto;Online;2732,71;2391,12;341,59;0,125
100198;2026-06-12;C2301;11;25;1;786,78;0,0;535,01;Cartão de débito;Online;786,78;535,01;251,77;0,32
100199;2025-02-21;C1189;17;24;4;704,91;0,05;422,95;PIX;Marketplace;2678,66;1691,8;986,86;0,3684
100200;2025-06-13;C2041;5;17;5;666,82;0,15;433,43;Cartão de crédito;Online;2833,98;2167,15;666,83;0,2353
100201;2026-06-02;C1873;16;11;4;207,57;0,05;114,16;PIX;Marketplace;788,77;456,64;332,13;0,4211
100202;2025-10-20;C2199;8;16;1;103,65;0,0;57,01;PIX;Marketplace;103,65;57,01;46,64;0,45
100203;2025-02-16;C1641;11;6;1;1298,91;0,05;883,26;Cartão de crédito;Marketplace;1233,96;883,26;350,7;0,2842
100204;2026-04-07;C2253;6;8;1;247,82;0,1;123,91;Cartão de débito;Online;223,04;123,91;99,13;0,4444
100205;2026-01-18;C1389;16;7;2;282,8;0,0;155,54;Boleto;Online;565,6;311,08;254,52;0,45
100206;2025-02-09;C0562;12;18;2;2147,14;0,05;1460,06;Cartão de débito;Marketplace;4079,57;2920,12;1159,45;0,2842
100207;2025-06-16;C1610;4;10;5;1978,64;0,0;1385,05;Boleto;Marketplace;9893,2;6925,25;2967,95;0,3
100208;2025-01-18;C1509;8;6;1;104,11;0,05;57,26;Cartão de crédito;Marketplace;98,9;57,26;41,64;0,421
100209;2025-08-22;C0211;2;7;2;463,14;0,1;310,3;Boleto;Online;833,65;620,6;213,05;0,2556
100210;2025-02-02;C2346;1;10;4;376,93;0,0;241,24;Boleto;Online;1507,72;964,96;542,76;0,36
100211;2025-07-28;C1681;10;1;1;275,67;0,05;143,35;Cartão de crédito;Online;261,89;143,35;118,54;0,4526
100212;2025-08-01;C2298;6;10;1;182,45;0,05;91,22;Cartão de débito;Marketplace;173,33;91,22;82,11;0,4737
100213;2025-12-29;C1083;4;13;2;884,53;0,0;619,17;PIX;Online;1769,06;1238,34;530,72;0,3
100214;2025-10-23;C0850;9;13;2;354,72;0,05;223,47;PIX;Marketplace;673,97;446,94;227,03;0,3369
100215;2026-01-24;C1617;17;6;3;768,23;0,1;460,94;Cartão de crédito;Marketplace;2074,22;1382,82;691,4;0,3333
100216;2025-12-21;C1812;15;27;2;3989,35;0,0;3111,69;PIX;Marketplace;7978,7;6223,38;1755,32;0,22
100217;2025-04-22;C2404;13;5;1;101,32;0,15;58,77;Cartão de débito;Online;86,12;58,77;27,35;0,3176
100218;2026-02-28;C1353;17;26;2;170,38;0,1;102,23;Cartão de débito;Marketplace;306,68;204,46;102,22;0,3333
100219;2026-05-04;C0817;8;11;2;143,19;0,0;78,75;Cartão de crédito;Online;286,38;157,5;128,88;0,45
100220;2025-06-29;C1712;12;27;3;1016,42;0,15;691,17;Boleto;Marketplace;2591,87;2073,51;518,36;0,2
100221;2025-10-24;C0154;7;10;1;575,97;0,0;357,1;PIX;Marketplace;575,97;357,1;218,87;0,38
100222;2026-05-21;C0550;6;8;3;143,6;0,0;71,8;PIX;Online;430,8;215,4;215,4;0,5
100223;2025-09-21;C0763;3;14;1;46,97;0,0;21,14;Cartão de débito;Online;46,97;21,14;25,83;0,5499
100224;2026-03-14;C2111;16;18;1;300,42;0,0;165,23;Boleto;Marketplace;300,42;165,23;135,19;0,45
100225;2025-01-07;C1069;1;10;1;612,71;0,0;392,13;PIX;Online;612,71;392,13;220,58;0,36
100226;2026-01-04;C0968;2;20;1;397,78;0,0;266,51;PIX;Online;397,78;266,51;131,27;0,33
100227;2026-01-12;C0905;9;1;1;184,11;0,0;115,99;PIX;Marketplace;184,11;115,99;68,12;0,37
100228;2025-08-12;C1014;8;9;2;211,08;0,1;116,09;Boleto;Marketplace;379,94;232,18;147,76;0,3889
100229;2025-04-25;C0253;15;13;3;4611,55;0,0;3597,01;Cartão de débito;Online;13834,65;10791,03;3043,62;0,22
