id_pedido,data_pedido,id_cliente,produto,categoria,quantidade,preco_unitario,desconto,custo_unitario,estado,regiao,forma_pagamento,canal
100065,2025-11-15,C0443,Headset,Eletrônicos,2,846.67,0.05,524.94,RN,Nordeste,Boleto,Online
100066,2025-09-06,C0418,Smartphone,Eletrônicos,2,2206.33,0.1,1720.94,RR,Norte,Cartão de crédito,Online
100067,2026-06-30,C1755,Mesa,Escritório,2,510.33,0.1,347.02,SP,Sudeste,Boleto,Marketplace
100068,2026-03-20,C1484,Teclado,Eletrônicos,2,680.1,0.1,408.06,AL,Nordeste,Cartão de débito,Marketplace
100069,2026-04-22,C1785,Hub USB,Acessórios,3,210.34,0,115.69,BA,Nordeste,Cartão de crédito,Marketplace
100070,2025-09-07,C1904,Cabo USB,Acessórios,2,73.46,0,33.06,PI,Nordeste,PIX,Online
100071,2025-08-06,C1454,Hub USB,Acessórios,2,154.87,0.15,85.18,RO,Norte,PIX,Online
100072,2025-07-15,C0351,Carregador,Acessórios,1,131.29,0.05,65.64,BA,Nordeste,Boleto,Marketplace
100073,2025-01-18,C0382,Cabo USB,Acessórios,1,52.35,0,23.56,PA,Norte,PIX,Marketplace
100074,2025-12-19,C1743,Carregador,Acessórios,5,160.08,0.05,80.04,SE,Nordeste,PIX,Marketplace
100075,2025-08-25,C0495,Aspirador,Casa,2,644.43,0.1,431.77,AP,Norte,Cartão de débito,Online
100076,2026-05-11,C1133,Cafeteira,Casa,2,1176.61,0.05,764.8,CE,Nordeste,Cartão de crédito,Online
100077,2025-08-21,C1479,Liquidificador,Casa,1,126.79,0.05,79.88,PE,Nordeste,Cartão de crédito,Online
100078,2025-05-10,C2011,Liquidificador,Casa,1,125.89,0,79.31,PI,Nordeste,Boleto,Marketplace
100079,2025-02-22,C1035,Headset,Eletrônicos,4,508.3,0.1,315.15,RN,Nordeste,Boleto,Online
100080,2025-06-05,C0612,Monitor,Eletrônicos,3,2408.43,0,1637.73,BA,Nordeste,Cartão de crédito,Marketplace
100081,2026-06-20,C1559,Air Fryer,Casa,1,609.9,0.15,390.34,AL,Nordeste,PIX,Online
100082,2025-08-01,C0865,Teclado,Eletrônicos,1,156.83,0,94.1,MT,Centro-Oeste,Cartão de crédito,Online
100083,2026-02-23,C1846,Notebook,Eletrônicos,2,4144.69,0,2984.18,CE,Nordeste,PIX,Marketplace
100084,2025-08-28,C1084,Smartphone,Eletrônicos,2,3500.23,0.1,2730.18,RS,Sul,Boleto,Online
100085,2025-06-02,C1089,Air Fryer,Casa,3,349.99,0,223.99,CE,Nordeste,PIX,Marketplace
100086,2026-04-25,C1246,Teclado,Eletrônicos,2,759.87,0.05,455.92,PI,Nordeste,Boleto,Online
100087,2026-03-19,C1321,Monitor,Eletrônicos,2,746.56,0,507.66,PA,Norte,Cartão de crédito,Marketplace
100088,2025-06-29,C1928,Monitor,Eletrônicos,1,1496.01,0,1017.29,MS,Centro-Oeste,Boleto,Marketplace
100089,2026-04-27,C1426,Smartphone,Eletrônicos,1,2284.23,0,1781.7,SC,Sul,PIX,Marketplace
100090,2025-10-23,C1641,Hub USB,Acessórios,3,201.02,0.05,110.56,MA,Nordeste,PIX,Marketplace
100091,2026-02-18,C2108,Teclado,Eletrônicos,3,100.81,0.15,60.49,SE,Nordeste,Boleto,Online
100092,2026-06-15,C1482,Cafeteira,Casa,2,698.49,0.05,454.02,MG,Sudeste,Cartão de débito,Marketplace
100093,2025-10-22,C1795,Mouse,Eletrônicos,3,283.58,0,164.48,AM,Norte,Cartão de débito,Online
100094,2025-01-15,C2263,Liquidificador,Casa,1,227.86,0.1,143.55,ES,Sudeste,Boleto,Online
100095,2026-05-26,C1196,Mouse,Eletrônicos,1,194.84,0.1,113.01,PI,Nordeste,Cartão de débito,Marketplace
100096,2026-01-28,C0781,Mouse,Eletrônicos,4,293.46,0.15,170.21,RJ,Sudeste,PIX,Marketplace
100097,2026-06-04,C1095,Cadeira,Escritório,3,1065.68,0,745.98,MS,Centro-Oeste,Boleto,Online
100098,2026-05-11,C1414,Cabo USB,Acessórios,1,81.03,0.05,36.46,MA,Nordeste,Cartão de débito,Online
100099,2025-08-28,C1683,Suporte para Monitor,Escritório,1,472.35,0.1,259.79,RR,Norte,Boleto,Marketplace
100100,2026-05-23,C0152,Mouse,Eletrônicos,1,485.45,0,281.56,ES,Sudeste,Boleto,Online
100101,2026-04-13,C0063,Carregador,Acessórios,2,132.0,0.1,66.0,PR,Sul,Cartão de crédito,Marketplace
100102,2025-12-13,C1629,Aspirador,Casa,2,1314.71,0.15,880.86,MT,Centro-Oeste,Boleto,Marketplace
100103,2025-02-06,C0281,Hub USB,Acessórios,1,230.57,0,126.81,BA,Nordeste,Cartão de crédito,Marketplace
100104,2025-04-13,C1818,Teclado,Eletrônicos,1,309.63,0,185.78,MA,Nordeste,Cartão de crédito,Marketplace
100105,2026-01-19,C1765,Mesa,Escritório,1,1249.87,0.05,849.91,RR,Norte,Cartão de débito,Online
100106,2025-03-22,C2497,Headset,Eletrônicos,3,614.78,0,381.16,MS,Centro-Oeste,Cartão de débito,Online
100107,2025-09-18,C1883,Cabo USB,Acessórios,1,20.75,0.1,9.34,CE,Nordeste,Cartão de débito,Online
100108,2025-12-20,C2407,Cabo USB,Acessórios,1,96.96,0.1,43.63,SE,Nordeste,PIX,Online
100109,2026-05-10,C0437,Suporte para Monitor,Escritório,1,385.96,0.05,212.28,RO,Norte,PIX,Online
100110,2025-10-09,C0034,Suporte para Monitor,Escritório,2,442.9,0.1,243.59,MG,Sudeste,Boleto,Marketplace
100111,2025-12-27,C0898,Air Fryer,Casa,2,734.62,0.1,470.16,AC,Norte,Cartão de débito,Online
100112,2025-11-13,C1806,Monitor,Eletrônicos,1,1356.75,0,922.59,CE,Nordeste,PIX,Marketplace
100113,2025-07-25,C0542,Headset,Eletrônicos,2,807.35,0.05,500.56,GO,Centro-Oeste,PIX,Online
100114,2026-05-09,C1209,Aspirador,Casa,2,673.39,0,451.17,RJ,Sudeste,Cartão de débito,Online
100115,2026-01-10,C0370,Suporte para Monitor,Escritório,2,106.96,0.05,58.83,SE,Nordeste,PIX,Marketplace
100116,2026-01-16,C0444,Suporte para Monitor,Escritório,2,335.74,0.1,184.66,MT,Centro-Oeste,PIX,Online
100117,2026-04-21,C1238,Smartphone,Eletrônicos,2,1466.7,0,1144.03,MG,Sudeste,PIX,Marketplace
100118,2025-04-10,C0962,Teclado,Eletrônicos,3,194.96,0.05,116.98,PA,Norte,Boleto,Online
100119,2025-04-12,C2005,Luminária,Escritório,2,380.5,0,197.86,RO,Norte,PIX,Online
100120,2026-04-01,C0968,Cabo USB,Acessórios,3,27.95,0.1,12.58,MT,Centro-Oeste,PIX,Online
100121,2025-10-10,C0778,Suporte para Monitor,Escritório,4,574.51,0.1,315.98,RJ,Sudeste,,Online
100122,2025-12-08,C0998,Monitor,Eletrônicos,5,2116.56,0,1439.26,TO,Norte,Cartão de débito,Online
100123,2025-12-03,C0605,Air Fryer,Casa,2,717.19,0,459.0,PR,Sul,Cartão de débito,Marketplace
100124,2025-04-23,C0106,Headset,Eletrônicos,1,418.68,0.1,259.58,MS,Centro-Oeste,PIX,Online
100125,2025-09-29,C0215,Headset,Eletrônicos,1,465.72,0,288.75,RJ,Sudeste,Boleto,Marketplace
100126,2026-06-10,C2432,Mesa,Escritório,1,1206.14,0.15,820.18,MG,Sudeste,PIX,Marketplace
100127,2025-03-04,C1962,Notebook,Eletrônicos,3,3991.96,0,2874.21,RO,Norte,Boleto,Online
100128,2025-11-26,C2492,Smartphone,Eletrônicos,1,1504.77,0.1,1173.72,MS,Centro-Oeste,PIX,Marketplace
100129,2025-10-29,C1859,Carregador,Acessórios,1,136.04,0.1,68.02,ES,Sudeste,Cartão de débito,Marketplace
100130,2025-08-22,C1695,Cabo USB,Acessórios,1,56.28,0.05,25.33,ES,Sudeste,PIX,Marketplace
100131,2025-09-19,C1534,Cadeira,Escritório,4,1873.64,0.05,1311.55,RJ,Sudeste,Cartão de crédito,Online
100132,2025-04-09,C1527,Luminária,Escritório,3,258.04,0.05,134.18,MT,Centro-Oeste,PIX,Online
100133,2025-12-29,C1733,Luminária,Escritório,3,310.74,0.2,161.58,DF,Centro-Oeste,PIX,Marketplace
100134,2026-06-04,C0872,Teclado,Eletrônicos,1,437.53,0.1,262.52,PB,Nordeste,PIX,Online
100135,2025-08-20,C1758,Aspirador,Casa,3,1468.18,0.1,983.68,DF,Centro-Oeste,Cartão de crédito,Marketplace
100136,2025-07-04,C1120,Notebook,Eletrônicos,2,3581.45,0,2578.64,SP,Sudeste,Cartão de débito,Online
100137,2025-03-13,C0582,Suporte para Monitor,Escritório,2,585.91,0,322.25,GO,Centro-Oeste,Cartão de débito,Marketplace
100138,2026-04-10,C1397,Luminária,Escritório,1,179.72,0,93.45,MS,Centro-Oeste,Cartão de crédito,Online
100139,2025-06-11,C0204,Mouse,Eletrônicos,2,194.28,0.1,112.68,PI,Nordeste,Boleto,Marketplace
100140,2025-08-09,C2099,Aspirador,Casa,1,787.39,0,527.55,PA,Norte,Boleto,Marketplace
100141,2025-08-14,C1619,Monitor,Eletrônicos,5,798.61,0,543.05,RS,Sul,Cartão de débito,Marketplace
100142,2025-12-02,C0492,Liquidificador,Casa,1,478.57,0,301.5,RN,Nordeste,Cartão de débito,Marketplace
100143,2026-02-11,C0174,Smartphone,Eletrônicos,1,2839.02,0,2214.44,MA,Nordeste,Boleto,Marketplace
100144,2025-10-24,C0472,Luminária,Escritório,1,389.18,0,202.37,DF,Centro-Oeste,Boleto,Marketplace
100145,2026-03-24,C0434,Smartphone,Eletrônicos,1,3355.49,0.05,2617.28,RN,Nordeste,PIX,Marketplace
100146,2025-12-08,C0689,Air Fryer,Casa,1,743.26,0.05,475.69,RS,Sul,PIX,Marketplace
100147,2025-08-30,C0422,Mouse,Eletrônicos,1,162.85,0.1,94.45,AP,Norte,Cartão de crédito,Online
100148,2026-04-21,C2310,Hub USB,Acessórios,2,178.76,0.15,98.32,MS,Centro-Oeste,PIX,Marketplace
100149,2026-03-27,C0280,Mouse,Eletrônicos,1,345.18,0.1,200.2,MS,Centro-Oeste,Cartão de crédito,Marketplace
100150,2025-03-17,C1272,Carregador,Acessórios,1,57.52,0.05,28.76,CE,Nordeste,Cartão de crédito,Online
100151,2026-01-29,C1896,Carregador,Acessórios,2,240.85,0.1,120.42,MG,Sudeste,Boleto,Online
100152,2026-05-03,C2054,Cadeira,Escritório,1,623.75,0,436.62,TO,Norte,PIX,Online
100153,2025-06-26,C0161,Carregador,Acessórios,1,137.55,0.05,68.78,GO,Centro-Oeste,Cartão de débito,Marketplace
100154,2025-10-17,C1587,Mesa,Escritório,1,941.39,0.05,640.15,RR,Norte,PIX,Online
100155,2025-04-07,C2286,Cadeira,Escritório,2,1068.29,0.1,747.8,PA,Norte,Cartão de débito,Marketplace
100156,2025-05-25,C1433,Smartphone,Eletrônicos,1,3624.22,0.1,2826.89,PR,Sul,Cartão de crédito,Marketplace
100157,2025-12-03,C0524,Suporte para Monitor,Escritório,2,514.48,0.1,282.96,PA,Norte,Cartão de crédito,Marketplace
100158,2026-01-06,C0075,Carregador,Acessórios,1,86.05,0,43.02,AP,Norte,Boleto,Online
100159,2025-05-21,C0635,Air Fryer,Casa,1,891.1,0,570.3,AP,Norte,Cartão de crédito,Marketplace
100160,2026-01-21,C0632,Mouse,Eletrônicos,1,429.16,0.1,248.91,RR,Norte,Cartão de débito,Marketplace
100161,2026-02-25,C1493,Monitor,eletronicos,2,1127.55,0.05,766.73,CE,Nordeste,Boleto,Online
100162,2025-11-13,C1922,Air Fryer,Casa,3,435.81,0.1,278.92,MS,Centro-Oeste,Boleto,Marketplace
100163,2026-01-27,C2060,Liquidificador,Casa,1,583.81,0.1,367.8,RR,Norte,Cartão de débito,Marketplace
100164,2026-05-08,C1521,Monitor,Eletrônicos,2,884.66,0.1,601.57,ES,Sudeste,PIX,Online
100165,2025-10-07,C1841,Headset,Eletrônicos,3,260.51,0.05,161.52,BA,Nordeste,Boleto,Marketplace
100166,2026-03-01,C0219,Notebook,Eletrônicos,1,3808.87,0.05,2742.39,RJ,Sudeste,PIX,Online
100167,2025-11-23,C0406,Notebook,Eletrônicos,3,4774.86,0.1,3437.9,PR,Sul,Cartão de crédito,Marketplace
100168,2025-05-23,C1922,Hub USB,Acessórios,1,81.16,0,44.64,PE,Nordeste,Cartão de débito,Online
100169,2026-03-10,C0456,Carregador,Acessórios,2,97.53,0,48.77,BA,Nordeste,Boleto,Marketplace
100170,2025-04-24,C2048,Smartphone,Eletrônicos,2,1065.74,0.05,831.28,BA,Nordeste,Cartão de débito,Marketplace
100171,2025-01-02,C1446,Luminária,Escritório,1,213.3,0.1,110.92,RJ,Sudeste,PIX,Online
100172,2026-06-04,C2080,Carregador,Acessórios,2,128.09,0.05,64.05,AM,Norte,Boleto,Marketplace
100173,2025-01-17,C1463,Aspirador,Casa,2,681.0,0.1,456.27,AM,Norte,Cartão de crédito,Marketplace
100174,2025-02-15,C1444,Mouse,Eletrônicos,1,421.67,0,244.57,AP,Norte,Boleto,Marketplace
100175,2025-05-19,C0259,Headset,Eletrônicos,2,857.7,0,531.77,RS,Sul,Cartão de crédito,Online
100176,2025-11-20,C1271,Monitor,Eletrônicos,1,2480.42,0.05,1686.69,PE,Nordeste,Cartão de crédito,Online
100177,2026-01-01,C0196,Liquidificador,Casa,3,279.32,0,175.97,PB,Nordeste,Boleto,Marketplace
100178,2026-01-31,C1389,Cabo USB,Acessórios,4,59.7,0.05,26.87,RR,Norte,PIX,Online
100179,2025-03-22,C1764,Luminária,Escritório,2,343.15,0.05,178.44,MA,Nordeste,Cartão de crédito,Online
100180,2025-10-30,C1256,Cadeira,Escritório,1,1935.33,0,1354.73,SE,Nordeste,PIX,Marketplace
100181,2025-12-28,C1782,Monitor,Eletrônicos,1,2464.05,0.15,1675.55,RJ,Sudeste,Boleto,Marketplace
100182,2025-06-13,C0128,Carregador,Acessórios,1,171.51,0.1,85.75,MG,Sudeste,Cartão de débito,Online
100183,2026-01-11,C1484,Air Fryer,Casa,1,697.07,0.1,446.12,PA,Norte,Boleto,Marketplace
100184,2026-03-31,C0315,Mesa,Escritório,2,1247.14,0.05,848.06,AM,Norte,PIX,Online
100185,2025-01-27,C0763,Teclado,Eletrônicos,1,370.89,0.05,222.53,PE,Nordeste,PIX,Marketplace
100186,2025-10-20,C2012,Cafeteira,Casa,1,335.73,0,218.22,SC,Sul,Boleto,Online
100187,2025-12-22,C0266,Cadeira,Escritório,1,1080.72,0,756.5,SC,Sul,Cartão de débito,Marketplace
100188,2025-08-18,C0498,Carregador,Acessórios,5,208.41,0,104.2,PI,Nordeste,Cartão de crédito,Marketplace
100189,2026-04-24,C2260,Mesa,Escritório,1,1814.79,0,1234.06,RN,Nordeste,Boleto,Marketplace
100190,2025-03-17,C0514,Luminária,Escritório,4,285.55,0.05,148.49,PA,Norte,PIX,Online
100191,2025-05-13,C1773,Headset,Eletrônicos,1,801.16,0.1,496.72,GO,Centro-Oeste,Cartão de débito,Marketplace
100192,2025-06-15,C1322,Headset,Eletrônicos,4,319.1,0.15,197.84,GO,Centro-Oeste,,Online
100193,2025-07-21,C2257,Aspirador,Casa,1,1031.28,0.1,690.96,RJ,Sudeste,Cartão de débito,Online
100194,2025-12-12,C2309,Headset,Eletrônicos,1,797.84,0,494.66,AM,Norte,PIX,Online
100195,2025-02-01,C2040,Luminária,Escritório,3,254.58,0.1,132.38,CE,Nordeste,Boleto,Online
100196,2025-11-01,C1858,Suporte para Monitor,Escritório,1,129.96,0.05,71.48,PI,Nordeste,Boleto,Online
100197,2025-05-28,C1281,Cadeira,Escritório,3,1138.63,0.2,797.04,PB,Nordeste,Boleto,Online
100198,2026-06-12,C2301,Mesa,Escritório,1,786.78,0,535.01,SE,Nordeste,Cartão de débito,Online
100199,2025-02-21,C1189,Teclado,Eletrônicos,4,704.91,0.05,422.95,SC,Sul,PIX,Marketplace
100200,2025-06-13,C2041,Cafeteira,Casa,5,666.82,0.15,433.43,PI,Nordeste,Cartão de crédito,Online
100201,2026-06-02,C1873,Suporte para Monitor,Escritório,4,207.57,0.05,114.16,MG,Sudeste,PIX,Marketplace
100202,2025-10-20,C2199,Hub USB,Acessórios,1,103.65,0,57.01,PE,Nordeste,PIX,Marketplace
100203,2025-02-16,C1641,Mesa,Escritório,1,1298.91,0.05,883.26,CE,Nordeste,Cartão de crédito,Marketplace
100204,2026-04-07,C2253,Carregador,Acessórios,1,247.82,0.1,123.91,ES,Sudeste,Cartão de débito,Online
100205,2026-01-18,C1389,Suporte para Monitor,Escritório,2,282.8,0,155.54,DF,Centro-Oeste,Boleto,Online
100206,2025-02-09,C0562,Monitor,Eletrônicos,2,2147.14,0.05,1460.06,PR,Sul,Cartão de débito,Marketplace
100207,2025-06-16,C1610,Cadeira,Escritório,5,1978.64,0,1385.05,MA,Nordeste,Boleto,Marketplace
100208,2025-01-18,C1509,Hub USB,Acessórios,1,104.11,0.05,57.26,CE,Nordeste,Cartão de crédito,Marketplace
100209,2025-08-22,C0211,Aspirador,Casa,2,463.14,0.1,310.3,DF,Centro-Oeste,Boleto,Online
100210,2025-02-02,C2346,Air Fryer,Casa,4,376.93,0,241.24,MA,Nordeste,Boleto,Online
100211,2025-07-28,C1681,Luminária,Escritório,1,275.67,0.05,143.35,AC,Norte,Cartão de crédito,Online
100212,2025-08-01,C2298,Carregador,Acessórios,1,182.45,0.05,91.22,MA,Nordeste,Cartão de débito,Marketplace
100213,2025-12-29,C1083,Cadeira,Escritório,2,884.53,0,619.17,MT,Centro-Oeste,PIX,Online
100214,2025-10-23,C0850,Liquidificador,Casa,2,354.72,0.05,223.47,MT,Centro-Oeste,PIX,Marketplace
100215,2026-01-24,C1617,Teclado,Eletrônicos,3,768.23,0.1,460.94,CE,Nordeste,Cartão de crédito,Marketplace
100216,2025-12-21,C1812,Smartphone,Eletrônicos,2,3989.35,0,3111.69,TO,Norte,PIX,Marketplace
100217,2025-04-22,C2404,Mouse,Eletrônicos,1,101.32,0.15,58.77,BA,Nordeste,Cartão de débito,Online
100218,2026-02-28,C1353,Teclado,Eletrônicos,2,170.38,0.1,102.23,SP,Sudeste,Cartão de débito,Marketplace
100219,2026-05-04,C0817,Hub USB,Acessórios,2,143.19,0,78.75,MG,Sudeste,Cartão de crédito,Online
100220,2025-06-29,C1712,Monitor,Eletrônicos,3,1016.42,0.15,691.17,TO,Norte,Boleto,Marketplace
100221,2025-10-24,C0154,Headset,Eletrônicos,1,575.97,0,357.1,MA,Nordeste,PIX,Marketplace
100222,2026-05-21,C0550,Carregador,Acessórios,3,143.6,0,71.8,ES,Sudeste,PIX,Online
100223,2025-09-21,C0763,Cabo USB,Acessórios,1,46.97,0,21.14,PA,Norte,Cartão de débito,Online
100224,2026-03-14,C2111,Suporte para Monitor,Escritório,1,300.42,0,165.23,PR,Sul,Boleto,Marketplace
100225,2025-01-07,C1069,Air Fryer,Casa,1,612.71,0,392.13,MA,Nordeste,PIX,Online
100226,2026-01-04,C0968,Aspirador,Casa,1,397.78,0,266.51,RN,Nordeste,PIX,Online
100227,2026-01-12,C0905,Liquidificador,Casa,1,184.11,0,115.99,AC,Norte,PIX,Marketplace
100228,2025-08-12,C1014,Hub USB,Acessórios,2,211.08,0.1,116.09,GO,Centro-Oeste,Boleto,Marketplace
100229,2025-04-25,C0253,Smartphone,Eletrônicos,3,4611.55,0,3597.01,MT,Centro-Oeste,Cartão de débito,Online
100230,2026-06-17,C1810,Cadeira,Escritório,1,910.8,0.05,637.56,RJ,Sudeste,Boleto,Online
100231,2025-05-16,C2103,Cabo USB,Acessórios,1,65.11,0.05,29.3,PA,Norte,PIX,Online
100232,2025-09-18,C0013,Suporte para Monitor,Escritório,2,389.16,0,214.04,PB,Nordeste,Cartão de crédito,Online
100233,2026-04-29,C0130,Smartphone,Eletrônicos,1,1719.93,0,1341.55,AM,Norte,Boleto,Marketplace
